ticker,dollar_adv_hist,price_warmup_med,volume_warmup_avg,adv_window,adv_asof
A,199754688.29956052,71.2650032043457,2943743.333333333,30.0,2020-04-13
AA,74609882.45825768,7.06000018119812,10071180.0,30.0,2020-04-13
AAL,819568622.1683025,13.68499994277954,67327973.33333333,30.0,2020-04-13
AAMI,4511259.918928146,6.265000104904175,789950.0,30.0,2020-04-13
AAOI,6051756.474709511,7.595000028610229,810580.0,30.0,2020-04-13
AAON,14782336.379814148,32.1299991607666,595355.0,30.0,2020-04-13
AAP,133469222.31750488,98.28000259399414,1377973.3333333333,30.0,2020-04-13
AAPL,16612408969.966124,64.15625,253952173.3333333,30.0,2020-04-13
AAT,14317563.092517853,24.6850004196167,527203.3333333334,30.0,2020-04-13
ABBV,1129883113.153839,75.56000137329102,15002236.666666666,30.0,2020-04-13
ABCB,14662946.699523926,23.55500030517578,628083.3333333334,30.0,2020-04-13
ABEO,2981448.0,53.0,62001.2,30.0,2020-04-13
ABG,20882947.86491394,55.2549991607666,360933.3333333333,30.0,2020-04-13
ABM,16539527.8799057,26.144999504089355,678823.3333333334,30.0,2020-04-13
ABR,23110220.02310753,6.5249998569488525,3714820.0,30.0,2020-04-13
ABT,880542978.786087,79.29999923706055,13083963.333333334,30.0,2020-04-13
ACA,14343771.602249146,37.45000076293945,409956.6666666667,30.0,2020-04-13
ACAD,51091769.20375824,40.13999938964844,1415493.3333333333,30.0,2020-04-13
ACB,25080525.15042877,98.57999801635742,299604.5333333333,30.0,2020-04-13
ACCO,5333535.033559799,5.130000114440918,932956.6666666666,30.0,2020-04-13
ACEL,1712297.9947328568,7.775000095367432,222440.0,30.0,2020-04-13
ACGL,74252017.38233566,29.144999504089355,2821310.0,30.0,2020-04-13
ACH,18085260.24312973,5.919999837875366,3923713.3333333335,30.0,2020-04-13
ACHC,29154453.61795425,18.395000457763672,1586413.3333333333,30.0,2020-04-13
ACIC,1060060.5119228363,8.559999942779541,125210.0,30.0,2020-04-13
ACIW,32346889.15681839,24.585000038146973,1218053.3333333333,30.0,2020-04-13
ACLS,6186008.497142792,18.925000190734863,340733.3333333333,30.0,2020-04-13
ACM,88915771.20704651,29.46999931335449,3273633.333333333,30.0,2020-04-13
ACMR,14869627.795028688,9.32333278656006,1713550.0,30.0,2020-04-13
ACN,729980445.7443237,164.11499786376953,4322700.0,30.0,2020-04-13
ACR,3443922.868868351,9.525000095367432,593481.1333333333,30.0,2020-04-13
ACRE,7562439.028978348,7.194999933242798,1066506.6666666667,30.0,2020-04-13
AD,7553056.140804291,29.574999809265137,265553.3333333333,30.0,2020-04-13
ADAM,48253350.13432503,8.0,5287901.666666667,30.0,2020-04-13
ADBE,1630082967.170715,313.52000427246094,5256400.0,30.0,2020-04-13
ADC,48115283.78639221,62.954999923706055,914746.6666666666,30.0,2020-04-13
ADEA,10502711.691020966,6.066179513931274,1809706.933333333,30.0,2020-04-13
ADI,365193523.9654541,94.38500213623048,4087836.6666666665,30.0,2020-04-13
ADM,145200176.72290802,35.125,4364983.333333333,30.0,2020-04-13
ADNT,24311894.83480453,11.050000190734863,2178646.6666666665,30.0,2020-04-13
ADP,500142956.2362671,137.01000213623047,3630623.3333333335,30.0,2020-04-13
ADPT,23629847.250938416,25.335000038146973,1159120.0,30.0,2020-04-13
ADSK,497564648.94866943,154.65999603271484,3194220.0,30.0,2020-04-13
ADTN,3077873.953819275,7.730000019073486,448340.0,30.0,2020-04-13
ADUS,13010211.939239502,68.95000076293945,214723.3333333333,30.0,2020-04-13
AEE,186294571.749115,75.05500030517578,2487530.0,30.0,2020-04-13
AEIS,16597209.285736084,49.38500022888184,353590.0,30.0,2020-04-13
AEM,117741195.3956604,43.85500144958496,2819243.333333333,30.0,2020-04-13
AEO,57243648.33021164,8.849999904632568,6058676.666666667,30.0,2020-04-13
