pair,mean_corr,pct>=0.75,pct>=0.85,pval,ci_mean_low,ci_mean_high
FULT-WSBC,0.7965,70,30,0.0005,0.7682625455,0.8273652501
ASB-KEY,0.7956,70,30,0.0005,0.7675812124,0.8246465504
ASB-VLY,0.7952,70,30,0.0005,0.7609708093,0.8314578368
CATY-WSBC,0.7945,70,35,0.0005,0.7615326384,0.8263821038
BANR-FCF,0.7945,70,30,0.0005,0.7572416654,0.8283185066
MET-PRU,0.7931,65,40,0.0005,0.7310377977,0.8507692735
CATY-SFNC,0.79,65,35,0.0005,0.753814631,0.8238717292
FNB-WTFC,0.7887,60,30,0.0005,0.7497299301,0.8261058721
ABCB-SFNC,0.7876,60,30,0.0005,0.7473631581,0.8274716389
COF-SYF,0.7875,65,30,0.0005,0.7315324123,0.8408127691
ASB-FFBC,0.7861,70,30,0.0005,0.7490904609,0.8219187457
HBAN-TFC,0.7851,65,30,0.0005,0.7393438717,0.8255927954
ASB-CFR,0.7845,60,30,0.0005,0.7476121654,0.8213363037
CFR-WBS,0.7832,60,30,0.0005,0.7409214018,0.822510175
